Hub_Name,1. Late night[00-05],2. Early Morning [06-08],3. Morning [09-11],4. Lunch [12-14],5. Early evening[15-17],6. Evening [18-20],7. Night [21-23]
Ben_114_Gopalan Mall_Mahadevapura,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_198_Kurudusonnenahalli,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_103_Indiranagar_Ambedkar College,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_172_Frazer Town,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Chikkabanavara,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_Nagasandra,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_145_Maragondanahalli,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_137_Vidyaranyapura,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_167_Royasandra Opti 2,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_205_Nagavara HRB Layout,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Guw_110_Panjabari,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Kalkere_113_B,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_153_Devanahalli,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_180_Thanisandra,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Bagalur Road,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ben_158_Haralur,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Rbi_107_Yadav Nagar_Baghdulhan,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Dighe_126_PUN,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Kol_129_Shyambazar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Sirity TLG,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Mira Road 1,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Kol_141_Belur,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Bhu_101_KIIT,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Site_114_M_Ulhasnagar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Govandi,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Thane Anand Nagar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Kalyan East,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Badlapur_West_112_M,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Mahim_061_m,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Sion_011_M,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Kurla_Kamani_014_M,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Thane Vasant Vihar,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Site_025_M_Powai,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Sodepur Panihati,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Ambernath East,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Mum_152_Titwala (Regency Sarvam),₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Cha_104_ISB Road Mohali,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
RPU_101_Phase 7 Mohali option 2,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
RPU_105_Phase 2 Sector 54,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Cha_108_Industrial Area Phase 1,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Rpu_104_Peer Muchalla,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Rpu_117_Sec. 5 Panchkula,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Cha_107_Panchkula Sec 26,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_101_Kelambakkam,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_104_Selaiyur,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_130_Thoriapakkam,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_111_Velachery,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_146_Neelankarai,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_102_Vandalur,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
che_103_Mudichur,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_105_Nagelkeni,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_107_Alapakkam,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_126_Mugalivakkam,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_122_Aminjikarai (Shenoy Nagar),₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
che_125_Perambur,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_116_Virugambakkam,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_118_Padi,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_132_Saidapet,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_139_Mugapair,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_121_Perumbakkam,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_114_Royapuram,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
Che_142_Egmore,₹50.00,₹100.00,₹200.00,₹100.00,₹150.00,₹200.00,₹70.00
